Date,Open,High,Low,Close,Volume,OpenInt
27-09-2011,14.368,14.946,14.25,14.479,324836,0
28-09-2011,14.568,14.568,14.242,14.317,53996,0
29-09-2011,14.649,14.649,14.064,14.145,168423,0
30-09-2011,13.951,14.494,13.914,14.411,111028,0
03-10-2011,14.368,14.434,13.252,13.365,139481,0
04-10-2011,13.261,13.261,12.162,12.586,489836,0
05-10-2011,12.697,13.433,12.586,13.335,149231,0
06-10-2011,13.468,14.323,13.365,14.323,87318,0
07-10-2011,14.471,14.613,14.158,14.568,95248,0
10-10-2011,14.664,15.013,14.502,14.621,119942,0
11-10-2011,14.621,14.792,14.434,14.708,60514,0
12-10-2011,14.998,15.205,14.851,15.073,71711,0
13-10-2011,15.043,15.043,14.656,14.716,75121,0
14-10-2011,14.991,15.028,14.509,14.7,69400,0
17-10-2011,14.731,14.865,14.634,14.752,68286,0
18-10-2011,14.553,15.155,14.536,15.036,79874,0
19-10-2011,15.111,15.162,14.969,15.036,73145,0
20-10-2011,14.998,15.155,14.479,14.741,121498,0
21-10-2011,15.073,15.073,14.818,15.005,61458,0
24-10-2011,15.117,15.333,15.073,15.324,51391,0
25-10-2011,15.333,15.342,15.177,15.242,81714,0
26-10-2011,15.362,15.614,15.282,15.586,104555,0
27-10-2011,16.111,16.239,15.852,16.075,147127,0
28-10-2011,16.075,16.223,15.947,16.148,95633,0
31-10-2011,16.067,16.067,15.755,15.852,55587,0
01-11-2011,15.231,15.541,15.028,15.162,75741,0
02-11-2011,15.19,15.68,15.19,15.356,97780,0
03-11-2011,15.562,15.586,15.362,15.416,59362,0
04-11-2011,15.467,15.614,15.374,15.533,46636,0
07-11-2011,15.577,15.727,15.467,15.495,57933,0
08-11-2011,15.502,15.586,15.374,15.409,77179,0
09-11-2011,15.087,15.19,14.916,14.963,82728,0
10-11-2011,15.028,15.139,14.826,14.91,82758,0
11-11-2011,15.117,15.467,15.073,15.467,50208,0
14-11-2011,15.416,15.467,15.171,15.282,52969,0
15-11-2011,15.117,15.315,15.117,15.25,51060,0
16-11-2011,15.199,15.223,15.005,15.005,65857,0
17-11-2011,14.963,15.057,14.826,14.886,109770,0
18-11-2011,14.963,15.079,14.818,14.924,61769,0
21-11-2011,14.731,14.851,14.479,14.799,57691,0
22-11-2011,14.664,14.812,14.649,14.672,40981,0
23-11-2011,14.382,14.582,14.012,14.516,71094,0
25-11-2011,14.375,14.783,14.375,14.741,19649,0
28-11-2011,14.963,15.273,14.903,15.125,140505,0
29-11-2011,14.768,14.865,14.628,14.672,46390,0
30-11-2011,15.177,15.177,14.687,14.7,60056,0
01-12-2011,14.575,14.792,14.368,14.419,32287,0
02-12-2011,14.479,14.681,14.39,14.397,40810,0
05-12-2011,14.568,14.792,14.456,14.792,77335,0
06-12-2011,14.681,15.073,14.681,14.932,93967,0
07-12-2011,14.857,15.073,14.857,15.057,308542,0
08-12-2011,14.963,14.976,14.818,14.843,32746,0
09-12-2011,14.916,15.028,14.818,15.019,45380,0
12-12-2011,14.932,14.932,14.649,14.681,49838,0
13-12-2011,14.747,15.013,14.588,14.818,114379,0
14-12-2011,14.716,14.851,14.575,14.843,69774,0
15-12-2011,15.051,15.051,14.462,14.708,109311,0
16-12-2011,14.851,14.851,14.494,14.502,90738,0
19-12-2011,14.641,14.641,14.293,14.53,63019,0
20-12-2011,14.553,14.664,14.352,14.485,129288,0
21-12-2011,14.397,14.494,14.317,14.456,88872,0
22-12-2011,14.456,14.656,14.352,14.456,120752,0
23-12-2011,14.553,14.553,14.257,14.403,59381,0
27-12-2011,14.317,14.352,14.078,14.091,76928,0
28-12-2011,14.078,14.099,13.752,13.959,64254,0
29-12-2011,14.032,14.33,13.892,14.264,106514,0
30-12-2011,14.368,14.485,14.132,14.456,78600,0
03-01-2012,14.536,14.641,14.45,14.45,42746,0
04-01-2012,14.39,14.836,14.39,14.752,404177,0
05-01-2012,14.621,15.29,14.545,15.223,125135,0
06-01-2012,15.199,15.467,15.199,15.467,99145,0
09-01-2012,15.562,15.562,15.452,15.474,133594,0
10-01-2012,15.511,15.68,15.356,15.374,135933,0
11-01-2012,15.25,15.401,15.171,15.213,81032,0
12-01-2012,15.324,15.577,15.29,15.541,85355,0
13-01-2012,15.474,15.896,15.374,15.837,188390,0
17-01-2012,16,16.105,15.918,16.023,91606,0
18-01-2012,16.075,16.298,16.023,16.216,72940,0
19-01-2012,16.298,16.468,16.059,16.075,332942,0
20-01-2012,16.201,16.342,16.067,16.142,101072,0
23-01-2012,16.223,16.379,15.888,15.918,514487,0
24-01-2012,15.896,16.075,15.808,15.964,315433,0
25-01-2012,15.964,16.142,15.792,16,394116,0
26-01-2012,16.039,16.209,16.039,16.075,141288,0
27-01-2012,16.171,16.298,16.148,16.239,94179,0
30-01-2012,16.179,16.223,15.942,15.964,198784,0
31-01-2012,16.105,16.135,15.942,16.045,384641,0
01-02-2012,16.179,16.253,16.127,16.223,139310,0
02-02-2012,16.29,16.335,15.888,16.223,894529,0
03-02-2012,16.371,16.58,16.335,16.483,188977,0
06-02-2012,16.483,16.594,16.424,16.521,155881,0
07-02-2012,16.305,16.631,16.305,16.49,99481,0
08-02-2012,16.61,16.706,16.49,16.55,549603,0
09-02-2012,16.618,16.618,16.431,16.507,160039,0
10-02-2012,16.533,16.601,16.223,16.223,113682,0
13-02-2012,16.388,16.58,16.298,16.483,143065,0
14-02-2012,16.521,16.533,16.364,16.371,173534,0
15-02-2012,16.559,16.566,16.431,16.455,231109,0
16-02-2012,16.483,16.499,16.401,16.455,171924,0
17-02-2012,16.58,16.601,16.431,16.448,126951,0
21-02-2012,16.586,16.728,16.521,16.631,133181,0
22-02-2012,16.631,16.743,16.58,16.668,155843,0
23-02-2012,16.757,16.892,16.601,16.668,546933,0
24-02-2012,16.788,16.832,16.668,16.72,320512,0
27-02-2012,16.764,16.781,16.706,16.706,234614,0
28-02-2012,16.521,16.627,16.455,16.559,348446,0
29-02-2012,16.627,16.847,16.574,16.773,478399,0
01-03-2012,16.87,16.885,16.631,16.764,383289,0
02-03-2012,16.781,17.005,16.697,16.945,400128,0
05-03-2012,16.937,17.038,16.842,16.973,224704,0
06-03-2012,16.92,16.92,16.335,16.832,710941,0
07-03-2012,16.877,17.031,16.847,16.973,258877,0
08-03-2012,17.018,17.167,16.996,17.144,285507,0
09-03-2012,17.203,17.322,17.144,17.27,133557,0
12-03-2012,17.352,17.507,17.262,17.427,164435,0
13-03-2012,17.53,17.598,17.308,17.404,485530,0
14-03-2012,17.457,17.498,17.315,17.433,328837,0
15-03-2012,17.546,17.574,17.336,17.492,211564,0
16-03-2012,17.558,17.65,17.507,17.539,403354,0
19-03-2012,17.582,17.702,17.517,17.627,269639,0
20-03-2012,17.618,17.627,17.36,17.552,269093,0
21-03-2012,17.598,17.656,17.471,17.65,432003,0
22-03-2012,17.507,17.65,17.488,17.612,349116,0
23-03-2012,17.642,17.783,17.59,17.783,241633,0
26-03-2012,17.783,17.921,17.759,17.851,244932,0
27-03-2012,17.888,18.034,17.777,18.007,402483,0
28-03-2012,17.981,18.034,17.93,18.034,227712,0
29-03-2012,17.948,18.019,17.909,18.007,185969,0
30-03-2012,18.027,18.119,17.888,17.894,227686,0
02-04-2012,17.871,18.007,17.797,17.974,275063,0
03-04-2012,17.968,18.125,17.939,18.059,257827,0
04-04-2012,18.014,18.05,17.909,17.948,312233,0
05-04-2012,17.921,17.962,17.862,17.909,486387,0
09-04-2012,17.805,17.856,17.634,17.797,113124,0
10-04-2012,17.767,17.851,17.462,17.498,214235,0
11-04-2012,18.206,18.281,17.517,17.523,133108,0
12-04-2012,17.488,17.574,17.488,17.574,263776,0
13-04-2012,17.618,17.618,17.488,17.488,93268,0
16-04-2012,17.558,17.59,17.507,17.558,260927,0
17-04-2012,17.618,17.716,17.582,17.627,126134,0
18-04-2012,17.634,17.65,17.42,17.427,230090,0
19-04-2012,17.462,17.546,17.433,17.479,150761,0
20-04-2012,17.507,17.517,17.315,17.322,207153,0
23-04-2012,17.276,17.276,17.031,17.188,222374,0
24-04-2012,17.188,17.427,17.188,17.367,97315,0
25-04-2012,17.404,17.523,17.375,17.404,115763,0
26-04-2012,17.336,17.367,17.234,17.256,153941,0
27-04-2012,17.248,17.433,17.248,17.381,129903,0
30-04-2012,17.322,17.558,17.322,17.523,170943,0
01-05-2012,17.558,17.642,17.439,17.488,105966,0
02-05-2012,17.352,17.558,17.352,17.404,171890,0
03-05-2012,17.404,17.679,17.404,17.671,181998,0
04-05-2012,17.612,17.797,17.612,17.753,198698,0
07-05-2012,17.693,17.921,17.679,17.851,168708,0
08-05-2012,17.851,17.894,17.723,17.851,401372,0
09-05-2012,17.708,17.827,17.679,17.791,568193,0
10-05-2012,17.871,17.93,17.805,17.903,121765,0
11-05-2012,17.827,18.059,17.827,17.871,471071,0
14-05-2012,17.759,17.835,17.679,17.723,374881,0
15-05-2012,17.679,17.744,17.558,17.618,537341,0
16-05-2012,17.685,17.685,17.336,17.336,406276,0
17-05-2012,17.276,17.276,16.401,16.438,292823,0
18-05-2012,16.586,16.586,15.467,15.57,330676,0
21-05-2012,15.57,16.586,15.57,16.415,193049,0
22-05-2012,16.521,17.107,16.514,16.87,168679,0
23-05-2012,16.737,16.979,16.542,16.959,295092,0
24-05-2012,17.005,17.367,16.907,17.36,173023,0
25-05-2012,17.352,17.574,17.27,17.492,104477,0
29-05-2012,17.708,17.744,17.539,17.716,346192,0
30-05-2012,17.262,17.367,16.973,17.038,200070,0
31-05-2012,17.149,17.174,16.668,16.824,176456,0
01-06-2012,16.483,16.757,16.483,16.631,75848,0
04-06-2012,16.75,16.75,16.507,16.706,296571,0
05-06-2012,16.75,17.071,16.75,16.959,274886,0
06-06-2012,17.13,17.329,17.047,17.21,199191,0
07-06-2012,17.322,17.457,17.13,17.144,107760,0
08-06-2012,17.21,17.218,17.031,17.188,263128,0
11-06-2012,17.089,17.089,16.342,16.388,327905,0
12-06-2012,16.483,16.728,16.075,16.668,720448,0
13-06-2012,16.61,16.764,16.507,16.627,223118,0
14-06-2012,16.678,16.764,16.455,16.627,170087,0
15-06-2012,16.668,16.907,16.542,16.847,189938,0
18-06-2012,16.854,17.025,16.743,17.011,214923,0
19-06-2012,17.115,17.188,17.005,17.174,175648,0
20-06-2012,17.256,17.352,17.122,17.336,215754,0
21-06-2012,17.411,17.546,17.262,17.42,170834,0
22-06-2012,17.498,17.634,17.36,17.567,230682,0
25-06-2012,17.375,17.523,17.375,17.498,156625,0
26-06-2012,17.567,17.738,17.479,17.708,111079,0
27-06-2012,17.759,17.879,17.679,17.811,169177,0
28-06-2012,17.723,17.954,17.708,17.93,150147,0
29-06-2012,18.027,18.137,17.856,18.137,270267,0
02-07-2012,18.125,18.182,18.034,18.177,136822,0
03-07-2012,18.102,18.3,18.102,18.3,188463,0
05-07-2012,18.214,18.318,18.086,18.177,273330,0
